1,,2,312,28,766,97
2,,2,929,48,606,129
3,,6,305,43,238,92
4,321,,52,1,537,
5,,1,165,40,412,88
6,,9,419,42,284,195
7,,6,849,51,24,87
8,,8,729,75,705,85
9,859,,490,25,394,
10,,2,203,21,473,53
11,,9,926,31,687,56
12,,8,809,77,261,67
13,,7,635,74,492,124
14,,6,843,87,338,138
15,868,,182,18,939,
16,795,,288,67,744,
17,518,,639,98,232,
18,,9,520,19,466,171
19,451,,296,48,875,
20,807,,96,36,90,
21,,4,258,34,136,70
22,48,,73,29,969,
23,,4,234,53,20,52
24,,1,743,18,766,163
25,,10,441,57,303,178
26,966,,185,0,667,
27,,3,360,67,103,128
28,899,,279,57,141,
29,,2,180,62,512,111
30,497,,808,40,88,
31,847,,522,19,306,
32,725,,479,82,18,
33,,10,403,36,678,180
34,,2,422,12,503,141
35,652,,570,48,227,
36,,10,904,29,74,169
37,978,,591,27,789,
38,,6,621,52,6,153
39,,7,576,29,237,192
40,546,,601,18,467,
41,980,,989,24,992,
42,,8,601,9,249,112
43,152,,646,43,16,
44,,9,781,39,77,58
45,,6,72,96,388,179
46,598,,856,1,755,
47,,5,996,36,594,124
48,,7,404,4,971,165
49,,1,693,95,150,172
50,983,,528,6,560,
51,974,,495,81,702,
52,490,,563,27,262,
53,,9,706,51,719,180
54,,7,389,60,682,95
55,,9,238,67,616,188
56,,9,11,100,87,152
57,,2,540,57,669,64
58,,5,336,20,934,130
59,593,,455,5,122,
60,,8,18,32,882,66
61,143,,536,27,927,
62,,10,654,29,679,152
63,,9,109,7,645,173
64,,8,278,12,994,108
65,39,,817,83,624,
66,908,,669,56,673,
67,,8,569,88,997,117
68,,9,37,71,360,183
69,990,,96,12,348,
70,,10,748,63,290,91
71,,3,606,10,394,55
72,,5,89,95,694,50
73,994,,988,75,932,
74,,2,140,99,171,100
75,,6,59,54,78,179
76,830,,305,85,760,
77,,6,788,27,697,162
78,,7,405,17,98,171
79,,6,274,92,294,177
80,923,,155,92,270,
81,774,,714,77,185,
82,448,,368,56,415,
83,41,,707,61,532,
84,94,,853,58,598,
85,961,,506,99,497,
86,974,,945,75,566,
87,950,,784,93,243,
88,16,,177,85,940,
89,,1,137,20,523,88
90,,9,82,33,234,164
91,580,,985,23,574,
92,,10,157,9,303,177
93,,3,692,23,85,182
94,,1,925,18,648,65
95,,3,740,87,682,200
96,,9,138,88,48,123
97,,6,67,32,988,160
98,683,,794,81,466,
99,,5,398,32,965,77
100,,1,269,59,842,140
101,732,,559,38,173,
102,,5,455,31,729,59
103,668,,291,76,823,
104,,6,163,45,599,149
105,,6,887,55,348,200
106,,5,327,89,279,92
107,604,,759,30,346,
108,,4,703,63,606,161
109,,6,291,16,817,102
110,842,,361,61,883,
111,,10,124,19,857,53
112,,10,684,0,1000,51
113,980,,752,97,233,
114,,1,407,79,902,179
115,,9,945,2,333,136
116,613,,458,46,953,
117,,2,255,69,481,135
118,,9,755,36,46,124
119,1000,,463,64,924,
120,,10,703,94,18,166
121,332,,615,5,392,
122,800,,918,52,586,
123,157,,835,71,808,
124,615,,772,96,771,
125,375,,819,60,49,
126,,2,941,69,368,60
127,492,,980,7,424,
128,710,,85,4,564,
129,,4,714,89,867,114
130,,1,787,20,628,115
131,587,,633,64,638,
132,707,,538,11,186,
133,,10,484,8,278,59
134,,1,882,12,477,133
135,790,,426,68,665,
136,,6,486,91,788,147
137,,10,541,1,340,147
138,,8,256,59,777,99
139,,10,67,39,157,82
140,89,,211,96,19,
141,409,,819,41,612,
142,,8,390,82,193,92
143,,9,983,48,13,54
144,,1,785,79,195,73
145,,9,731,78,262,105
146,418,,792,99,692,
147,542,,110,87,687,
148,,8,302,69,258,132
149,584,,558,81,319,
150,798,,110,84,291,
151,271,,211,49,690,
152,251,,582,72,593,
153,272,,921,32,47,
154,,7,794,78,293,164
155,886,,173,19,156,
156,608,,496,23,859,
157,414,,87,66,705,
158,,3,54,9,242,76
159,,1,575,47,791,153
160,,2,374,48,615,190
161,,8,608,7,672,152
162,,2,183,28,540,95
163,676,,190,88,127,
164,,10,792,39,536,109
165,,3,612,81,770,156
166,595,,362,27,650,
167,,10,131,11,712,188
168,443,,377,50,129,
169,124,,233,16,858,
170,602,,523,59,348,
171,,2,319,95,601,172
172,,3,762,84,61,96
173,,6,574,7,491,67
174,,1,58,51,70,101
175,745,,327,33,46,
176,,6,771,41,836,188
177,,5,49,71,298,86
178,578,,739,64,265,
179,469,,573,51,893,
180,152,,206,45,298,
181,,8,490,70,698,52
182,896,,507,13,671,
183,432,,992,15,573,
184,917,,226,55,777,
185,308,,350,90,601,
186,,7,186,42,9,168
187,833,,627,52,759,
188,,10,204,93,963,187
189,,2,638,72,682,130
190,,3,252,59,634,121
191,85,,231,98,127,
192,247,,42,16,392,
193,204,,394,82,507,
194,,7,212,72,481,101
195,,10,193,44,7,53
196,87,,388,83,856,
197,423,,214,83,720,
198,,5,701,53,991,116
199,430,,933,55,440,
200,,8,365,64,1000,153
201,,9,126,97,740,53
202,415,,804,25,910,
203,,9,487,37,849,96
204,336,,540,20,137,
205,,2,381,65,931,67
206,,9,507,55,219,180
207,,9,904,39,455,137
208,860,,760,27,110,
209,,3,631,62,914,163
210,,9,708,6,265,182
211,145,,488,70,741,
212,996,,923,98,944,
213,302,,141,79,984,
214,499,,610,77,981,
215,,1,43,36,837,199
216,192,,20,83,804,
217,,8,447,22,659,109
218,,2,960,45,834,128
219,288,,219,61,374,
220,346,,51,95,597,
221,,6,678,21,904,196
222,942,,994,71,172,
223,,6,540,89,528,73
224,159,,850,99,760,
225,,7,503,8,139,90
226,,10,114,80,566,119
227,,7,168,65,449,128
228,1000,,930,57,430,
229,737,,152,96,700,
230,684,,516,76,408,
231,67,,85,1,849,
232,,1,535,9,295,126
233,,3,486,12,987,57
234,,1,518,34,685,136
235,,6,207,28,104,157
